distance,heart_rate,temperature,timestamp,power,cadence,altitude,speed,latitude,longitude,slope,time_diff,acceleration,power_change_rate
0.0,96,32,2023-06-18 01:35:44,,,37.0,,,,0.0,,0.0,0.0
0.0,97,32,2023-06-18 01:35:45,,,37.0,,,,0.0,1.0,,
0.0,96,32,2023-06-18 01:35:46,0.0,,37.0,,,,0.0,1.0,,
0.0,96,31,2023-06-18 01:35:47,0.0,,37.0,,,,0.0,1.0,,0.0
0.0,96,32,2023-06-18 01:35:48,0.0,,36.60000000000002,,,,0.0,1.0,,0.0
0.0,96,31,2023-06-18 01:35:49,0.0,,36.60000000000002,,,,0.0,1.0,,0.0
0.0,96,32,2023-06-18 01:35:50,0.0,0.0,36.60000000000002,,,,0.0,1.0,,0.0
0.0,95,32,2023-06-18 01:35:51,0.0,0.0,36.60000000000002,,,,0.0,1.0,,0.0
0.0,95,32,2023-06-18 01:35:52,0.0,0.0,36.60000000000002,,,,0.0,1.0,,0.0
0.0,95,32,2023-06-18 01:35:53,0.0,0.0,36.39999999999998,,,,0.0,1.0,,0.0
0.0,95,32,2023-06-18 01:35:54,0.0,0.0,36.39999999999998,,,,0.0,1.0,,0.0
0.0,96,32,2023-06-18 01:35:55,39.0,38.0,36.39999999999998,,,,0.0,1.0,,39.0
0.0,97,32,2023-06-18 01:35:57,111.0,26.0,36.39999999999998,,,,0.0,2.0,,36.0
0.0,97,32,2023-06-18 01:35:58,111.0,26.0,36.39999999999998,,,,0.0,1.0,,0.0
0.0,98,32,2023-06-18 01:35:59,137.0,35.0,36.39999999999998,,,,0.0,1.0,,26.0
0.0,98,32,2023-06-18 01:36:00,137.0,35.0,36.39999999999998,,,,0.0,1.0,,0.0
0.0,98,32,2023-06-18 01:36:01,137.0,35.0,36.39999999999998,,,,0.0,1.0,,0.0
0.0,99,32,2023-06-18 01:36:02,28.0,35.0,36.60000000000002,2.827,39.83652787283063,116.41659856773913,0.0,1.0,,-109.0
2.75,99,32,2023-06-18 01:36:03,28.0,35.0,36.60000000000002,2.883,39.83653575181961,116.41664123162627,0.0,1.0,0.05600000000000005,0.0
