distance,heart_rate,power,temperature,timestamp,cadence,altitude,speed,latitude,longitude,slope,time_diff,acceleration,power_change_rate
13829.83,150,0.0,27,2023-05-11 01:35:14,0.0,45.60000000000002,5.822,39.94336914271116,116.427854122594,0.0,1.0,0.0,0.0
13835.95,150,0.0,27,2023-05-11 01:35:15,0.0,45.799999999999955,5.58,39.94341884739697,116.42786208540201,3.267973856207609,1.0,-0.242,0.0
13841.37,150,0.0,27,2023-05-11 01:35:16,0.0,45.799999999999955,5.542,39.943469474092126,116.42786644399166,0.0,1.0,-0.038000000000000256,0.0
13846.86,149,74.0,27,2023-05-11 01:35:17,49.0,45.799999999999955,5.552,39.943523202091455,116.42785965465009,0.0,1.0,0.009999999999999787,74.0
13852.95,149,102.0,27,2023-05-11 01:35:18,40.0,46.0,5.766,39.94357751682401,116.42784817144275,3.2840722495901593,1.0,0.2140000000000004,28.0
13865.15,148,104.0,28,2023-05-11 01:35:19,55.0,46.200000000000045,6.009,39.94363049045205,116.42784154973924,1.6393442622956014,1.0,0.24300000000000033,2.0
13865.15,148,124.0,27,2023-05-11 01:35:20,61.0,46.0,6.009,39.94368555955589,116.42783618532121,0.0,1.0,0.0,20.0
13871.23,147,137.0,27,2023-05-11 01:35:21,63.0,46.0,6.158,39.943741550669074,116.42783618532121,0.0,1.0,0.14900000000000002,13.0
13877.41,147,104.0,27,2023-05-11 01:35:22,65.0,46.0,6.28,39.9437973741442,116.42783174291253,0.0,1.0,0.12199999999999989,-33.0
13883.59,147,104.0,27,2023-05-11 01:35:23,65.0,46.200000000000045,6.289,39.94385562837124,116.42783216200769,3.23624595469314,1.0,0.008999999999999453,0.0
13890.13,146,117.0,27,2023-05-11 01:35:24,67.0,46.0,6.42,39.94391346350312,116.42783568240702,-3.058103975536306,1.0,0.13100000000000023,13.0
13896.52,145,118.0,27,2023-05-11 01:35:25,67.0,45.799999999999955,6.503,39.9439715500921,116.42783995717764,-3.1298904538342214,1.0,0.08300000000000018,1.0
13903.18,145,118.0,27,2023-05-11 01:35:26,67.0,45.60000000000002,6.522,39.94402913376689,116.42784121446311,-3.0030030030020445,1.0,0.019000000000000128,0.0
13916.12,145,134.0,27,2023-05-11 01:35:27,68.0,45.60000000000002,6.709,39.94409124366939,116.42784532159567,0.0,1.0,0.1869999999999994,16.0
13922.92,144,128.0,27,2023-05-11 01:35:28,70.0,45.60000000000002,6.839,39.94415326975286,116.42785269767046,0.0,1.0,0.13000000000000078,-6.0
13922.92,144,121.0,27,2023-05-11 01:35:29,71.0,45.60000000000002,6.839,39.94421688839793,116.42786300741136,0.0,1.0,0.0,-7.0
13937.51,143,126.0,28,2023-05-11 01:35:30,72.0,45.60000000000002,7.045,39.94428193196654,116.42788077704608,0.0,1.0,0.20599999999999952,5.0
13937.51,143,159.0,27,2023-05-11 01:35:31,74.0,45.60000000000002,7.045,39.94434529915452,116.42789896577597,0.0,1.0,0.0,33.0
13944.82,143,157.0,27,2023-05-11 01:35:32,75.0,45.799999999999955,7.11,39.94440824724734,116.42791455611587,2.7359781121743603,1.0,0.06500000000000039,-2.0
