distance,heart_rate,temperature,timestamp,power,cadence,altitude,speed,latitude,longitude,slope,time_diff,acceleration,power_change_rate
12747.48,160,27,2023-06-19 11:38:55,0.0,87.0,38.799999999999955,7.94,39.85316913574934,116.43250616267323,0.0,1.0,-0.07500000000000018,0.0
12755.34,161,27,2023-06-19 11:38:56,0.0,87.0,38.799999999999955,7.521,39.85310694202781,116.43249853514135,0.0,1.0,-0.4190000000000005,0.0
12762.53,162,27,2023-06-19 11:38:57,0.0,0.0,38.799999999999955,6.681,39.85305028036237,116.43249375745654,0.0,1.0,-0.8399999999999999,0.0
12768.9,162,27,2023-06-19 11:38:58,0.0,0.0,39.0,6.177,39.85299806110561,116.43249451182783,3.139717425432927,1.0,-0.5040000000000004,0.0
12774.71,162,27,2023-06-19 11:38:59,0.0,0.0,39.0,5.785,39.852954391390085,116.43249669112265,0.0,1.0,-0.39199999999999946,0.0
12779.46,162,27,2023-06-19 11:39:00,0.0,0.0,39.0,4.889,39.85292228870094,116.43249853514135,0.0,1.0,-0.8959999999999999,0.0
12782.97,162,27,2023-06-19 11:39:01,0.0,0.0,39.0,3.63,39.852896220982075,116.43249987624586,0.0,1.0,-1.2590000000000003,0.0
12785.81,162,27,2023-06-19 11:39:02,0.0,0.0,39.0,2.771,39.85287166200578,116.43250004388392,0.0,1.0,-0.859,0.0
12788.35,162,27,2023-06-19 11:39:03,0.0,0.0,39.200000000000045,2.398,39.8528603464365,116.4325047377497,7.87401574803058,1.0,-0.3729999999999998,0.0
12790.04,161,27,2023-06-19 11:39:04,0.0,0.0,39.60000000000002,0.858,39.85285934060812,116.43251412548125,23.66863905324596,1.0,-1.54,0.0
12790.27,162,27,2023-06-19 11:39:05,0.0,0.0,39.60000000000002,0.224,39.85285825096071,116.43251387402415,0.0,1.0,-0.634,0.0
12790.27,162,27,2023-06-19 11:39:06,0.0,0.0,40.200000000000045,0.0,39.852858670055866,116.43251429311931,0.0,1.0,-0.224,0.0
12790.27,158,27,2023-06-19 11:39:36,,0.0,40.200000000000045,1.922,39.85276764258742,116.4325391035527,0.0,30.0,0.06406666666666666,
12792.11,157,27,2023-06-19 11:39:37,0.0,0.0,40.200000000000045,2.127,39.85275138169527,116.43253499642015,0.0,1.0,0.20499999999999985,
12794.57,157,27,2023-06-19 11:39:38,0.0,0.0,40.200000000000045,2.557,39.85273067839444,116.43253030255437,0.0,1.0,0.43000000000000016,0.0
12796.21,157,27,2023-06-19 11:39:39,0.0,0.0,40.200000000000045,3.144,39.85271282494068,116.43252284266055,0.0,1.0,0.5870000000000002,0.0
12799.85,156,27,2023-06-19 11:39:40,67.0,55.0,40.200000000000045,3.564,39.85267912968993,116.43252233974636,0.0,1.0,0.41999999999999993,67.0
12804.2,156,27,2023-06-19 11:39:41,67.0,55.0,40.200000000000045,4.012,39.8526409920305,116.4325198251754,0.0,1.0,0.4479999999999995,0.0
12808.66,155,27,2023-06-19 11:39:42,127.0,28.0,40.0,4.413,39.85260168090463,116.43252242356539,-4.484304932737324,1.0,0.4010000000000007,60.0
12813.48,155,27,2023-06-19 11:39:43,174.0,37.0,39.799999999999955,4.843,39.852560022845864,116.43252770416439,-4.14937759336219,1.0,0.4299999999999997,47.0
12818.39,155,27,2023-06-19 11:39:44,165.0,44.0,39.60000000000002,5.216,39.85251727513969,116.43253424204886,-4.073319755599546,1.0,0.3730000000000002,-9.0
12823.51,155,27,2023-06-19 11:39:45,215.0,50.0,39.60000000000002,5.785,39.852469163015485,116.43253650516272,0.0,1.0,0.569,50.0
12829.54,154,27,2023-06-19 11:39:46,231.0,55.0,39.60000000000002,6.214,39.852415937930346,116.43253642134368,0.0,1.0,0.42900000000000027,16.0
12835.28,154,27,2023-06-19 11:39:47,254.0,60.0,39.39999999999998,6.587,39.85236095264554,116.43253474496305,-3.484320557492214,1.0,0.37299999999999933,23.0
12842.21,153,27,2023-06-19 11:39:48,248.0,65.0,39.39999999999998,6.886,39.85229875892401,116.43253256566823,0.0,1.0,0.2990000000000004,-6.0
12849.29,152,27,2023-06-19 11:39:49,166.0,69.0,39.39999999999998,7.026,39.852234637364745,116.43253147602081,0.0,1.0,0.13999999999999968,-82.0
12856.31,153,27,2023-06-19 11:39:50,105.0,73.0,39.200000000000045,7.101,39.85217043198645,116.43253684043884,-2.849002849002438,1.0,0.07500000000000018,-61.0
12863.51,153,27,2023-06-19 11:39:51,96.0,74.0,39.0,7.166,39.852104214951396,116.43254010938108,-2.7777777777781285,1.0,0.06500000000000039,-9.0
12871.18,153,27,2023-06-19 11:39:52,96.0,74.0,39.0,7.073,39.852037243545055,116.43254346214235,0.0,1.0,-0.09299999999999997,0.0
12878.39,153,27,2023-06-19 11:39:53,96.0,74.0,39.0,6.933,39.85197396017611,116.43254949711263,0.0,1.0,-0.14000000000000057,0.0
12885.33,154,27,2023-06-19 11:39:54,0.0,74.0,39.0,6.839,39.85191277228296,116.4325549453497,0.0,1.0,-0.09399999999999942,-96.0
12892.01,155,27,2023-06-19 11:39:55,0.0,74.0,39.0,6.699,39.851854434236884,116.43256089650095,0.0,1.0,-0.14000000000000057,0.0
12898.3,155,27,2023-06-19 11:39:56,0.0,0.0,39.200000000000045,6.671,39.85179701820016,116.43256626091897,3.1796502384749687,1.0,-0.02799999999999958,0.0
12904.82,155,27,2023-06-19 11:39:57,101.0,64.0,39.200000000000045,6.849,39.8517379257828,116.4325721282512,0.0,1.0,0.17799999999999994,101.0
12911.74,155,27,2023-06-19 11:39:58,164.0,63.0,39.200000000000045,6.998,39.851675648242235,116.43257707357407,0.0,1.0,0.14900000000000002,63.0
12918.5,155,27,2023-06-19 11:39:59,164.0,63.0,39.0,7.045,39.8516134545207,116.43258025869727,-2.958579881657382,1.0,0.04699999999999971,0.0
12925.35,156,27,2023-06-19 11:40:00,164.0,63.0,39.0,6.877,39.85155209898949,116.43258604221046,0.0,1.0,-0.16800000000000015,0.0
12932.07,156,27,2023-06-19 11:40:01,119.0,61.0,38.799999999999955,6.905,39.85149057582021,116.43258864060044,-2.976190476191443,1.0,0.02800000000000047,-45.0
12939.11,157,27,2023-06-19 11:40:02,125.0,55.0,38.799999999999955,7.007,39.85142662189901,116.4325911551714,0.0,1.0,0.10199999999999942,6.0
12946.18,157,27,2023-06-19 11:40:03,125.0,55.0,38.799999999999955,6.97,39.85136275179684,116.4325956813991,0.0,1.0,-0.03699999999999992,0.0
12953.22,157,27,2023-06-19 11:40:04,125.0,55.0,38.799999999999955,6.755,39.85130072571337,116.43260238692164,0.0,1.0,-0.21499999999999986,0.0
12959.19,157,27,2023-06-19 11:40:05,0.0,55.0,39.0,6.242,39.85124683007598,116.43261252902448,3.350083752093911,1.0,-0.5129999999999999,-125.0
12964.79,157,27,2023-06-19 11:40:06,0.0,55.0,39.0,5.365,39.85119855031371,116.43262644298375,0.0,1.0,-0.8769999999999998,0.0
12969.1,157,27,2023-06-19 11:40:07,0.0,55.0,39.200000000000045,4.096,39.85116200521588,116.43262979574502,4.640371229699979,1.0,-1.2690000000000001,0.0
12973.31,156,27,2023-06-19 11:40:08,0.0,0.0,39.60000000000002,4.535,39.85112219117582,116.43262912519276,9.501187648457488,1.0,0.43900000000000006,0.0
12978.28,156,27,2023-06-19 11:40:09,137.0,48.0,39.60000000000002,4.973,39.8510782700032,116.43262803554535,0.0,1.0,0.4379999999999997,137.0
12983.73,155,27,2023-06-19 11:40:10,137.0,48.0,39.799999999999955,5.505,39.85103091225028,116.43262510187924,3.669724770641685,1.0,0.532,0.0
12989.01,155,27,2023-06-19 11:40:11,274.0,46.0,39.799999999999955,6.018,39.85098137520254,116.43262325786054,0.0,1.0,0.5129999999999999,137.0
12994.7,155,27,2023-06-19 11:40:12,254.0,59.0,39.799999999999955,6.308,39.850926641374826,116.43261956982315,0.0,1.0,0.29000000000000004,-20.0
13001.53,155,27,2023-06-19 11:40:13,193.0,63.0,39.60000000000002,6.513,39.850864950567484,116.43262376077473,-2.92825768667546,1.0,0.20500000000000007,-61.0
13008.5,155,27,2023-06-19 11:40:14,167.0,67.0,39.60000000000002,6.699,39.85080225393176,116.43262862227857,0.0,1.0,0.18599999999999994,-26.0
13015.59,155,27,2023-06-19 11:40:15,173.0,69.0,39.39999999999998,6.793,39.850739389657974,116.43262929283082,-2.82087447108662,1.0,0.0940000000000003,6.0
13022.47,154,27,2023-06-19 11:40:16,181.0,71.0,39.0,6.905,39.850676944479346,116.43262761645019,-5.813953488372439,1.0,0.1120000000000001,8.0
13029.63,153,27,2023-06-19 11:40:17,164.0,72.0,39.0,6.905,39.850614331662655,116.43262811936438,0.0,1.0,0.0,-17.0
13036.51,152,27,2023-06-19 11:40:18,140.0,73.0,38.799999999999955,7.026,39.850552221760154,116.432637674734,-2.9069767441862773,1.0,0.12099999999999955,-24.0
13043.16,150,27,2023-06-19 11:40:19,140.0,73.0,38.799999999999955,6.933,39.85049095004797,116.43264840357006,0.0,1.0,-0.09299999999999997,0.0
13050.27,150,27,2023-06-19 11:40:20,102.0,73.0,38.799999999999955,6.821,39.850427247583866,116.43265100196004,0.0,1.0,-0.1120000000000001,-38.0
13057.46,150,27,2023-06-19 11:40:21,63.0,53.0,38.799999999999955,6.83,39.85036346130073,116.43265200778842,0.0,1.0,0.009000000000000341,-39.0
13064.49,149,27,2023-06-19 11:40:22,117.0,44.0,38.799999999999955,6.933,39.85029984265566,116.43265368416905,0.0,1.0,0.10299999999999976,54.0
13071.66,149,27,2023-06-19 11:40:23,97.0,64.0,38.799999999999955,6.961,39.85023605637252,116.43265393562615,0.0,1.0,0.02800000000000047,-20.0
13085.88,149,27,2023-06-19 11:40:24,97.0,64.0,38.799999999999955,6.727,39.850173108279705,116.43265167251229,0.0,1.0,-0.23399999999999999,0.0
13085.88,149,27,2023-06-19 11:40:25,97.0,64.0,38.799999999999955,6.727,39.85005282796919,116.43264865502715,0.0,1.0,0.0,0.0
13092.5,149,27,2023-06-19 11:40:26,42.0,64.0,38.799999999999955,6.746,39.849994238466024,116.43264471553266,0.0,1.0,0.019000000000000128,-55.0
13099.07,149,27,2023-06-19 11:40:27,42.0,64.0,39.0,6.858,39.84993598423898,116.43263935111463,3.044140030442227,1.0,0.11199999999999921,0.0
13105.69,149,27,2023-06-19 11:40:28,44.0,54.0,38.799999999999955,6.998,39.84987907111645,116.43262979574502,-3.021148036254098,1.0,0.14000000000000057,2.0
13111.47,148,27,2023-06-19 11:40:29,97.0,65.0,38.799999999999955,7.054,39.849815871566534,116.43262409605086,0.0,1.0,0.05600000000000005,53.0
13118.42,149,27,2023-06-19 11:40:30,119.0,71.0,38.799999999999955,7.101,39.849748983979225,116.43262015655637,0.0,1.0,0.04699999999999971,22.0
13125.69,149,27,2023-06-19 11:40:31,127.0,74.0,38.799999999999955,7.325,39.849678575992584,116.43261948600411,0.0,1.0,0.2240000000000002,8.0
13133.5,149,27,2023-06-19 11:40:32,155.0,76.0,38.60000000000002,7.446,39.849606743082404,116.43261923454702,-2.5608194622272062,1.0,0.12099999999999955,28.0
13141.36,150,27,2023-06-19 11:40:33,155.0,79.0,38.60000000000002,7.605,39.84953164122999,116.432621832937,0.0,1.0,0.1590000000000007,0.0
13149.95,151,27,2023-06-19 11:40:34,150.0,79.0,38.60000000000002,7.735,39.84945897012949,116.43262317404151,0.0,1.0,0.1299999999999999,-5.0
13157.99,151,27,2023-06-19 11:40:35,134.0,80.0,38.39999999999998,7.894,39.84938613139093,116.43262610770762,-2.4875621890555846,1.0,0.1589999999999998,-16.0
13166.19,151,27,2023-06-19 11:40:36,121.0,83.0,38.39999999999998,7.95,39.84931446611881,116.4326326455921,0.0,1.0,0.05600000000000005,-13.0
13174.17,152,27,2023-06-19 11:40:37,123.0,84.0,38.39999999999998,7.95,39.84924405813217,116.43264052458107,0.0,1.0,0.0,2.0
13182.2,152,27,2023-06-19 11:40:38,123.0,84.0,38.39999999999998,7.838,39.84917473979294,116.43263943493366,0.0,1.0,-0.1120000000000001,0.0
13189.95,152,27,2023-06-19 11:40:39,30.0,84.0,38.200000000000045,7.726,39.84910726547241,116.43263801001012,-2.5806451612894423,1.0,-0.1120000000000001,-93.0
13197.52,152,27,2023-06-19 11:40:40,30.0,84.0,38.200000000000045,7.577,39.84903861768544,116.4326374232769,0.0,1.0,-0.14900000000000002,0.0
13204.91,152,27,2023-06-19 11:40:41,31.0,71.0,38.0,7.679,39.84896644949913,116.43263817764819,-2.7063599458736296,1.0,0.10200000000000031,1.0
13213.01,152,27,2023-06-19 11:40:42,141.0,71.0,38.0,7.819,39.84889495186508,116.43264354206622,0.0,1.0,0.13999999999999968,110.0
13221.08,153,27,2023-06-19 11:40:43,129.0,80.0,38.0,7.866,39.84882521443069,116.43265376798809,0.0,1.0,0.04699999999999971,-12.0
13228.83,153,27,2023-06-19 11:40:44,127.0,82.0,38.0,7.987,39.848755057901144,116.43265686929226,0.0,1.0,0.12100000000000044,-2.0
13236.62,153,27,2023-06-19 11:40:45,118.0,83.0,38.0,8.006,39.84868632629514,116.43266340717673,0.0,1.0,0.019000000000000128,-9.0
13244.18,154,27,2023-06-19 11:40:46,118.0,83.0,37.799999999999955,7.884,39.84861868433654,116.4326754771173,-2.6455026455034254,1.0,-0.12199999999999989,0.0
13251.68,154,27,2023-06-19 11:40:47,72.0,69.0,37.799999999999955,7.791,39.84854810871184,116.4326857868582,0.0,1.0,-0.09299999999999997,-46.0
13259.85,155,27,2023-06-19 11:40:48,72.0,69.0,37.799999999999955,7.884,39.84847879037261,116.43268771469593,0.0,1.0,0.09299999999999997,0.0
13267.49,155,27,2023-06-19 11:40:49,122.0,55.0,37.799999999999955,8.006,39.84840695746243,116.43268721178174,0.0,1.0,0.12199999999999989,50.0
13275.2,155,27,2023-06-19 11:40:50,129.0,74.0,37.60000000000002,8.08,39.84833177179098,116.43268754705787,-2.5940337224371888,1.0,0.07399999999999984,7.0
13283.47,155,27,2023-06-19 11:40:51,120.0,83.0,37.60000000000002,8.146,39.848255664110184,116.43268880434334,0.0,1.0,0.06600000000000072,-9.0
13291.97,155,27,2023-06-19 11:40:52,126.0,85.0,37.60000000000002,8.211,39.848179975524545,116.43269157037139,0.0,1.0,0.0649999999999995,6.0
13300.46,155,27,2023-06-19 11:40:53,119.0,86.0,37.60000000000002,8.248,39.84810462221503,116.4326981920749,0.0,1.0,0.036999999999999034,-7.0
13308.86,155,27,2023-06-19 11:40:54,119.0,86.0,37.39999999999998,8.286,39.84802977181971,116.43270498141646,-2.3809523809525097,1.0,0.038000000000000256,0.0
