distance,heart_rate,temperature,timestamp,power,cadence,altitude,speed,latitude,longitude,slope,time_diff,acceleration,power_change_rate
0.0,96,32,2023-08-22 00:57:32,,,34.60000000000002,,,,0.0,,0.0,0.0
0.0,86,32,2023-08-22 00:57:33,0.0,,34.60000000000002,,,,0.0,1.0,,
0.0,86,32,2023-08-22 00:57:34,0.0,,34.60000000000002,,,,0.0,1.0,,0.0
0.0,85,32,2023-08-22 00:57:35,0.0,,34.60000000000002,,,,0.0,1.0,,0.0
0.0,85,32,2023-08-22 00:57:36,0.0,0.0,34.60000000000002,,,,0.0,1.0,,0.0
0.0,85,32,2023-08-22 00:57:37,0.0,0.0,34.60000000000002,,,,0.0,1.0,,0.0
0.0,85,32,2023-08-22 00:57:38,0.0,0.0,34.60000000000002,,,,0.0,1.0,,0.0
0.0,84,32,2023-08-22 00:57:39,78.0,23.0,34.60000000000002,,,,0.0,1.0,,78.0
0.0,84,32,2023-08-22 00:57:40,123.0,29.0,34.60000000000002,3.91,39.83518869616091,116.41842842102051,0.0,1.0,,45.0
0.0,84,32,2023-08-22 00:57:41,123.0,29.0,34.60000000000002,,,,0.0,1.0,,0.0
9.25,85,32,2023-08-22 00:57:42,143.0,41.0,35.200000000000045,4.376,39.8351410869509,116.41852833330631,6.486486486486733,1.0,,20.0
13.37,85,32,2023-08-22 00:57:43,113.0,52.0,35.200000000000045,4.572,39.8351635504514,116.41858843155205,0.0,1.0,0.19599999999999973,-30.0
34.85,86,32,2023-08-22 00:57:44,103.0,59.0,35.0,4.777,39.83528793789446,116.41877157613635,-0.9310986964620365,1.0,0.20500000000000007,-10.0
34.85,87,32,2023-08-22 00:57:45,104.0,62.0,34.799999999999955,5.496,39.835202442482114,116.4187035150826,0.0,1.0,0.7190000000000003,1.0
39.95,87,32,2023-08-22 00:57:46,88.0,66.0,34.799999999999955,5.804,39.83519825153053,116.41876445151865,0.0,1.0,0.30799999999999983,-16.0
45.4,88,32,2023-08-22 00:57:47,77.0,66.0,34.60000000000002,5.701,39.83519833534956,116.41882723197341,-3.6697247706409533,1.0,-0.10300000000000065,-11.0
50.76,88,32,2023-08-22 00:57:48,90.0,67.0,34.799999999999955,5.598,39.83519640751183,116.4188900962472,3.7313432835808173,1.0,-0.10299999999999976,13.0
56.53,88,32,2023-08-22 00:57:49,102.0,69.0,34.799999999999955,5.589,39.83519297093153,116.41895564273,0.0,1.0,-0.008999999999999453,12.0
62.83,88,32,2023-08-22 00:57:50,110.0,69.0,34.60000000000002,5.738,39.83519992791116,116.41903166659176,-3.1746031746020935,1.0,0.14900000000000002,8.0
69.04,89,32,2023-08-22 00:57:51,110.0,69.0,34.60000000000002,5.841,39.83520210720599,116.41910442151129,0.0,1.0,0.10299999999999976,0.0
75.57,89,32,2023-08-22 00:57:52,120.0,72.0,34.60000000000002,6.028,39.83519934117794,116.4191784337163,0.0,1.0,0.1869999999999994,10.0
81.66,91,32,2023-08-22 00:57:53,107.0,72.0,34.60000000000002,6.186,39.835199508816004,116.41924884170294,0.0,1.0,0.15800000000000036,-13.0
87.65,94,32,2023-08-22 00:57:54,110.0,74.0,34.60000000000002,6.214,39.835200514644384,116.41932033933699,0.0,1.0,0.02800000000000047,3.0
93.97,101,32,2023-08-22 00:57:55,92.0,75.0,34.60000000000002,6.28,39.835201520472765,116.4193961955607,0.0,1.0,0.06599999999999984,-18.0
100.7,106,32,2023-08-22 00:57:56,107.0,76.0,34.39999999999998,6.457,39.83520386740565,116.4194738958031,-2.9717682020809115,1.0,0.1769999999999996,15.0
107.01,114,32,2023-08-22 00:57:57,107.0,76.0,34.39999999999998,6.214,39.83520143665373,116.41954598017037,0.0,1.0,-0.24299999999999944,0.0
112.99,121,32,2023-08-22 00:57:58,48.0,54.0,34.60000000000002,6.093,39.83519841916859,116.41961571760476,3.3444816053519366,1.0,-0.12100000000000044,-59.0
118.71,126,32,2023-08-22 00:57:59,48.0,54.0,34.60000000000002,5.99,39.83518961817026,116.41968386247754,0.0,1.0,-0.10299999999999976,0.0
124.76,128,32,2023-08-22 00:58:00,48.0,54.0,34.60000000000002,5.906,39.835179978981614,116.41975359991193,0.0,1.0,-0.08400000000000052,0.0
130.74,129,32,2023-08-22 00:58:01,31.0,54.0,34.60000000000002,5.794,39.8351701721549,116.41982400789857,0.0,1.0,-0.1120000000000001,-17.0
136.55,130,32,2023-08-22 00:58:02,32.0,36.0,34.60000000000002,5.757,39.83516405336559,116.41989341005683,0.0,1.0,-0.03699999999999992,1.0
142.68,130,32,2023-08-22 00:58:03,141.0,51.0,34.60000000000002,5.794,39.83515743166208,116.4199620578438,0.0,1.0,0.03699999999999992,109.0
148.55,130,32,2023-08-22 00:58:04,141.0,51.0,34.39999999999998,5.897,39.83515332452953,116.42003112472594,-3.407155025554435,1.0,0.10300000000000065,0.0
154.69,131,32,2023-08-22 00:58:05,160.0,66.0,34.200000000000045,5.981,39.835150642320514,116.42010304145515,-3.257328990226909,1.0,0.08399999999999963,19.0
161.67,131,32,2023-08-22 00:58:06,130.0,71.0,34.200000000000045,5.981,39.83514787629247,116.42017688602209,0.0,1.0,0.0,-30.0
167.26,132,32,2023-08-22 00:58:07,133.0,72.0,34.200000000000045,6.028,39.83514645136893,116.42024318687618,0.0,1.0,0.04699999999999971,3.0
173.02,132,32,2023-08-22 00:58:08,101.0,74.0,34.200000000000045,5.86,39.83514494262636,116.42030940391123,0.0,1.0,-0.16799999999999926,-32.0
178.52,133,32,2023-08-22 00:58:09,101.0,74.0,34.200000000000045,5.794,39.83514351770282,116.4203751180321,0.0,1.0,-0.06600000000000072,0.0
184.32,133,32,2023-08-22 00:58:10,98.0,73.0,34.39999999999998,5.738,39.83514058403671,116.42044317908585,3.4482758620677996,1.0,-0.05599999999999916,-3.0
190.18,133,32,2023-08-22 00:58:11,100.0,74.0,34.39999999999998,5.972,39.83513379469514,116.4205133356154,0.0,1.0,0.23399999999999999,2.0
196.26,133,32,2023-08-22 00:58:12,109.0,75.0,34.39999999999998,5.972,39.8351273406297,116.42058290541172,0.0,1.0,0.0,9.0
202.42,133,32,2023-08-22 00:58:13,109.0,75.0,34.39999999999998,6.205,39.83512407168746,116.4206565823406,0.0,1.0,0.23299999999999965,0.0
208.97,133,32,2023-08-22 00:58:14,100.0,76.0,34.39999999999998,6.345,39.835119880735874,116.42073143273592,0.0,1.0,0.13999999999999968,-9.0
215.12,133,32,2023-08-22 00:58:15,81.0,77.0,34.39999999999998,6.448,39.83511527068913,116.42080552875996,0.0,1.0,0.10300000000000065,-19.0
221.41,133,32,2023-08-22 00:58:16,69.0,78.0,34.39999999999998,6.168,39.835111163556576,116.4208772778511,0.0,1.0,-0.28000000000000025,-12.0
227.75,133,32,2023-08-22 00:58:17,74.0,79.0,34.60000000000002,6.354,39.835104793310165,116.42095254734159,3.1545741324928294,1.0,0.18599999999999994,5.0
234.17,133,32,2023-08-22 00:58:18,60.0,80.0,34.39999999999998,6.364,39.83510093763471,116.4210292417556,-3.1152647975085026,1.0,0.009999999999999787,-14.0
240.75,133,32,2023-08-22 00:58:19,66.0,80.0,34.39999999999998,6.457,39.83510269783437,116.42110895365477,0.0,1.0,0.09299999999999997,6.0
247.62,133,32,2023-08-22 00:58:20,58.0,80.0,34.39999999999998,6.559,39.835106302052736,116.4211920183152,0.0,1.0,0.10200000000000031,-8.0
255.13,133,32,2023-08-22 00:58:21,69.0,78.0,34.39999999999998,6.336,39.83510973863304,116.42127407714725,0.0,1.0,-0.22299999999999986,11.0
261.63,133,32,2023-08-22 00:58:22,69.0,78.0,34.39999999999998,6.158,39.83511661179364,116.4213487599045,0.0,1.0,-0.17799999999999994,0.0
268.15,133,32,2023-08-22 00:58:23,69.0,78.0,34.39999999999998,6.382,39.83511879108846,116.42142687924206,0.0,1.0,0.2239999999999993,0.0
275.41,133,32,2023-08-22 00:58:24,0.0,78.0,34.200000000000045,6.466,39.835117952898145,116.42150667496026,-2.7548209366381604,1.0,0.08400000000000052,-69.0
281.47,134,32,2023-08-22 00:58:25,0.0,78.0,34.200000000000045,6.364,39.83511535450816,116.42157934606075,0.0,1.0,-0.10200000000000031,0.0
287.92,134,32,2023-08-22 00:58:26,0.0,0.0,34.200000000000045,6.13,39.835116527974606,116.42165235243738,0.0,1.0,-0.23399999999999999,0.0
